Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
0,2023-07-01 01:00:00,15568.0,0.0080146320454687,124.77179168385776,1866.464381381244,0.1053375773169465,1806.838190279642,0.111297607421875,6.111165515783396e-06,715.5,0.076,0.075,0.131,0.212,0.09800599515649755,0.0,0.0,18.0,16.6,14.2,11.4,715.5,70.7,8.7
1,2023-07-01 01:30:00,15209.999999999998,0.0081084042568419,123.32882874656678,1820.208924990368,0.1249945420289055,1763.9615541975054,0.128875732421875,5.90499251623134e-06,715.4,0.076,0.075,0.131,0.212,0.09800599515649755,0.0,0.0,17.8,16.5,14.2,11.4,715.4,71.0,8.1
2,2023-07-01 02:00:00,15526.0,0.0080254650741287,124.60337074092338,1859.8720194599696,0.1079865752999757,1801.6320747416423,0.113311767578125,5.986336000032097e-06,715.6,0.076,0.074,0.131,0.212,0.0976861932323647,0.00036630873668107056,0.00017863040023974062,17.5,16.4,14.3,11.4,715.6,78.3,6.8
3,2023-07-01 02:30:00,15444.0,0.0080467424930877,124.27389106324787,1853.4543818750471,0.1106118265270239,1796.163752226889,0.115509033203125,5.9066863183362605e-06,715.9,0.076,0.074,0.131,0.211,0.0976118398673656,0.000451474850908365,0.00022016164300813412,16.9,16.4,14.4,11.4,715.9,79.3,6.4
4,2023-07-01 03:00:00,15850.0,0.0079430147078953,125.89678312014172,1894.853990969516,0.0944525136921402,1833.7056603264057,0.101409912109375,6.175344919802274e-06,716.2,0.075,0.074,0.131,0.211,0.09722806314632942,0.0008910618428614451,0.0004345261733882258,16.3,16.2,14.4,11.4,716.2,81.3,6.7
5,2023-07-01 03:30:00,15497.999999999998,0.008032711545198,124.49096352747856,1857.131621145564,0.1091019051936161,1799.409263972552,0.114227294921875,5.940463693518443e-06,716.3,0.075,0.074,0.131,0.211,0.09722806314632942,0.0008910618428614451,0.0004345261733882258,15.7,16.0,14.4,11.4,716.3,77.7,6.8
6,2023-07-01 04:00:00,15446.0,0.0080462215165896,124.28193754524428,1851.7245338252048,0.1113274557545093,1797.4215222253763,0.114959716796875,5.5947439901448686e-06,716.6,0.074,0.074,0.131,0.211,0.09684428642529325,0.001330648834814525,0.0006488907037683173,15.2,15.8,14.4,11.4,716.6,71.3,7.2
7,2023-07-01 04:30:00,14923.999999999998,0.0081857293240822,122.1638244326036,1791.5947024316006,0.1385335369593546,1740.59911785463,0.139495849609375,5.425503596228892e-06,716.9,0.074,0.074,0.131,0.211,0.09684428642529325,0.001330648834814525,0.0006488907037683173,14.7,15.5,14.4,11.3,716.9,82.0,4.6
8,2023-07-01 05:00:00,15657.999999999998,0.0079915653581237,125.13193037750196,1877.961702756564,0.1008295666801428,1826.2061771219376,0.104095458984375,5.248233588887313e-06,716.9,0.074,0.074,0.131,0.211,0.09684428642529325,0.001330648834814525,0.0006488907037683173,14.1,15.2,14.3,11.3,716.9,82.0,4.1
9,2023-07-01 05:30:00,15202.0,0.0081105374860967,123.29639086364207,1821.1059896909323,0.1245882509654748,1771.6899013905943,0.125579833984375,5.16519705612305e-06,716.8,0.073,0.074,0.131,0.211,0.09646050970425707,0.0017702358267676053,0.000863255234148409,13.6,15.0,14.3,11.4,716.8,84.0,3.5
