,date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND
0,2023-07-01,2023-07-01,4789.521739130435,0.0102190596434199,97.86719090387658,2107.24335090906,0.145381387921984,2031.6524278989043,0.1133436120074728,6.886045540576778e-06,793.8543478260871,0.0668478260869565,0.0472826086956521,0.0577335199523504,0.0,0.0,12.45,12.121739130434785,,793.8543478260871,73.59782608695652,11.956521739130435,2023-07-01,0.1133436120074728,1014.5355118509348,2832.7275295103013,2731.112076079359,4022.6689942357634,0.06603308240345832,0.1365330824034582,C3,6069.7260956242135
1,2023-07-02,2023-07-02,4870.354166666667,0.0101333328510278,98.69141658306346,2132.4183905954205,0.1357435593896826,2051.3416608129714,0.107556660970052,7.318919329788986e-06,793.1020833333333,0.0660833333333333,0.0472916666666666,0.057329379857938,0.0004953547123428,0.0002864386062118,13.2875,12.714583333333332,0.0063,793.1020833333333,68.33749999999999,13.660416666666668,2023-07-02,0.107556660970052,1025.9944344468663,2866.569860983457,2757.579940878438,4067.53400116417,0.06557084458773357,0.13607084458773347,C3,6122.57782243818
2,2023-07-03,2023-07-03,4915.979166666667,0.0100863216518305,99.15219976816309,2146.7453926828184,0.1307252051056393,2068.282396319973,0.1028772989908854,7.022106843557285e-06,792.2833333333333,0.0654583333333333,0.0472291666666666,0.0569664161593079,0.0009402394961384,0.0005436930023446,13.620833333333332,12.891666666666666,1.37,792.2833333333333,64.72916666666667,14.5,2023-07-03,0.1028772989908854,1027.7461234975112,2885.8293799236,2780.3530524035655,4091.970230709978,0.06515570253783108,0.135655702537831,C3,6168.821818103136
3,2023-07-04,2023-07-04,4926.458333333333,0.0100752934068598,99.25880202390393,2140.573657425846,0.1329346648693117,2046.4910963501763,0.1088612874348958,8.50803275708163e-06,790.6708333333332,0.0648333333333333,0.0469166666666666,0.0564869918822912,0.0015278700680991,0.0008834900766549,14.189583333333331,13.464583333333332,0.0,790.6708333333332,64.825,15.710416666666667,2023-07-04,0.1088612874348958,1035.870050947461,2877.5328325126266,2751.059418471049,4076.3899681191006,0.06460735795713357,0.13510735795713347,C3,6093.298548399426
4,2023-07-05,2023-07-05,4942.395833333333,0.0100597562547414,99.41685423980157,2142.310839304781,0.1322871518935221,2055.3311496440874,0.1065228780110677,7.844083250827833e-06,790.7916666666666,0.0639375,0.046875,0.0559890655251122,0.0021381786488078,0.0012364006977946,13.958333333333334,13.341666666666669,0.8857,790.7916666666666,66.66875,15.116666666666667,2023-07-05,0.1065228780110677,1031.4153145639507,2879.8680933784885,2762.9429355395437,4075.723069991546,0.06403785150400909,0.134537851504009,C3,6114.3049009317065
5,2023-07-06,2023-07-06,5065.375,0.0099377979406761,100.64296744112715,2168.808151548212,0.1233342726926954,2092.863398401982,0.096588134765625,6.727042725649322e-06,790.5333333333333,0.0632708333333333,0.0464166666666666,0.0554194493404344,0.002836357486315,0.0016401222494809,14.289583333333333,13.51875,0.0,790.5333333333333,61.10625,15.472916666666668,2023-07-06,0.096588134765625,1035.4698597138834,2915.4879309343255,2813.3968303187353,4121.519533797503,0.06338634935253423,0.13388634935253413,C3,6211.900188813004
6,2023-07-07,2023-07-07,5166.854166666667,0.0098394253608074,101.64719975541888,2171.5183715610524,0.1224771272992171,2104.4590403498564,0.0937449137369791,5.906645301975615e-06,788.8458333333333,0.0620833333333333,0.0458333333333333,0.0545133957382021,0.0039469078318668,0.0022822974124131,14.30625,13.658333333333331,0.0,788.8458333333333,55.14791666666667,15.295833333333334,2023-07-07,0.0937449137369791,1031.9269753897458,2919.131228628486,2828.984633290764,4119.297221580729,0.06235004475465877,0.13285004475465867,C3,6235.337597024751
7,2023-07-08,2023-07-08,5196.083333333333,0.0098119331677999,101.93354989132813,2176.882730945416,0.1206331430032084,2110.250561614412,0.0922889709472656,5.857601798755e-06,788.2041666666668,0.0608125,0.0453333333333333,0.0536016491882276,0.0050644360262641,0.0029285075128312,14.45625,13.76875,0.0,788.2041666666668,54.06458333333333,15.533333333333331,2023-07-08,0.0922889709472656,1038.2972286917477,2926.342435867421,2836.7700661961635,4122.006240310335,0.06130722881142121,0.1318072288114211,C3,6238.771026438599
8,2023-07-09,2023-07-09,5220.4375,0.0097878995072817,102.17603993484047,2219.5761794304244,0.107305346999204,2157.102439528474,0.0812060038248698,5.363590132946365e-06,790.3791666666666,0.0592708333333333,0.044625,0.0524481844495163,0.0064782383233924,0.0037460379599188,14.060416666666669,13.602083333333333,0.0,790.3791666666666,52.45625,14.229166666666666,2023-07-09,0.0812060038248698,1038.6833753581184,2983.7344341864764,2899.7521628387576,4193.172252225085,0.05998794614506603,0.13048794614506593,C3,6356.142399987718
9,2023-07-10,2023-07-10,5163.708333333333,0.0098408827676562,101.62156529971348,2217.120874252222,0.1078711160518439,2141.5643479585547,0.0845972696940104,6.536153667212255e-06,791.4250000000001,0.058125,0.0442708333333333,0.0516711429477407,0.0074306584740092,0.0042967744194157,14.760416666666666,13.975,0.0,791.4250000000001,52.18541666666667,16.193749999999998,2023-07-10,0.0845972696940104,1040.4046248719408,2980.4338137011196,2878.86459912801,4181.995257032137,0.05909919996156633,0.1295991999615662,C3,6297.005869332571
10,2023-07-11,2023-07-11,5124.5,0.0098790759211263,101.23290146017092,2224.065800936167,0.1061057035471524,2143.846690602583,0.0842781066894531,6.932641359887898e-06,792.4729166666666,0.0569583333333333,0.0436041666666666,0.0507373974378473,0.0085751508043908,0.0049585765175207,15.204166666666666,14.310416666666669,0.0,792.4729166666666,55.80416666666667,16.852083333333333,2023-07-11,0.0842781066894531,1043.4787191317332,2989.7697477780043,2881.932709337837,4187.183533278203,0.05803122256733263,0.12853122256733251,C3,6287.829533936859
