date,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,PRISM_ppt_mm,BaroPress,airRH,airT,date,CRNS,Bare
2023-07-01,2023-07-01,6138.978260869565,0.0090254765734472,110.80311468791297,2609.2433050373465,0.0564204582881634,2522.114891215447,0.0687720257302989,6.3981633636692985e-06,789.3956521739129,0.0455652173913043,0.1034782608695652,0.1873695652173913,0.0961176010840436,0.0,0.0,19.334146341463416,19.51086956521739,18.443478260869565,,789.3956521739129,56.119565217391305,14.72608695652174,2023-07-01,0.0687720257302989,796.2506055364547
2023-07-02,2023-07-02,6217.666666666667,0.0089682122385521,111.51086259858842,2612.445530477779,0.0557768070515663,2533.437422906984,0.0668385823567708,5.776741322441648e-06,788.5354166666666,0.0466666666666666,0.103,0.1876041666666666,0.0964859049382905,0.000429474384299,0.0002209083921356,20.41081081081081,21.429166666666664,18.85833333333333,0.0,788.5354166666666,40.24375,18.497916666666665,2023-07-02,0.0668385823567708,799.1759333681613
2023-07-03,2023-07-03,6261.270833333333,0.0089370159400646,111.90083810499078,2622.448833417516,0.0538445094997917,2550.2701835053545,0.064056396484375,5.243217843148509e-06,787.7854166666666,0.0448125,0.1016666666666666,0.1884583333333333,0.0953947301775793,0.0008429304605466,0.0004335774600979,20.482857142857146,22.447916666666668,19.602083333333333,0.0,787.7854166666666,34.800000000000004,19.429166666666667,2023-07-03,0.064056396484375,794.8490555509271
2023-07-04,2023-07-04,6314.416666666667,0.008899338247393,112.3746812670514,2614.460076890065,0.0554060634902659,2536.977978265989,0.0662701924641927,5.658060482098889e-06,786.0708333333333,0.0426458333333333,0.0985416666666666,0.188,0.0932640493505294,0.0033274899507163,0.0017115583181054,22.80697674418605,21.822916666666668,19.647916666666667,0.0,786.0708333333333,34.80416666666667,19.735416666666666,2023-07-04,0.0662701924641927,795.4961087117742
2023-07-05,2023-07-05,6290.666666666667,0.0089166632774203,112.16087186527945,2617.4577804411456,0.0549072421387437,2532.9221321330256,0.0670407613118489,6.18352539537779e-06,786.2937499999999,0.0421874999999999,0.0965416666666666,0.187875,0.0923439856648179,0.0044003643732359,0.0022634118681818,22.4875,22.29375,19.8625,0.44489998,786.2937499999999,39.85625,19.383333333333333,2023-07-05,0.0670407613118489,796.8294893528378
2023-07-06,2023-07-06,6391.520833333333,0.0088460219928577,113.0564169715516,2628.4555785086163,0.0526933640856896,2554.970912133014,0.0633112589518229,5.331381090033872e-06,785.9583333333334,0.0413958333333333,0.0944583333333333,0.187625,0.0912219234978655,0.005708786624973,0.0029364239649044,21.01621621621622,22.4,19.979166666666668,0.0,785.9583333333334,34.77291666666667,19.741666666666667,2023-07-06,0.0633112589518229,800.6767588269448
2023-07-07,2023-07-07,6501.3125,0.008771207263565,114.0224692131986,2636.865913388993,0.0512073079782083,2562.97850355325,0.0621147155761718,5.3439753771879015e-06,784.2937499999999,0.0398333333333333,0.0929583333333333,0.1878333333333333,0.0900620922142897,0.0070612509575093,0.0036320899511518,23.373170731707315,22.852083333333336,20.416666666666668,0.0,784.2937499999999,36.53333333333333,19.32708333333333,2023-07-07,0.0621147155761718,797.5597780204445
2023-07-08,2023-07-08,6514.666666666667,0.0087625973647342,114.13787679573214,2626.863222066222,0.0530473438957979,2559.496856381877,0.0627047220865885,4.889591101276285e-06,783.6229166666667,0.0391666666666666,0.0907916666666666,0.1871666666666666,0.088876387346633,0.0084438861434444,0.0043432748948909,20.98378378378378,22.5625,20.23333333333333,0.0,783.6229166666667,31.522916666666664,20.45625,2023-07-08,0.0627047220865885,794.577920070791
2023-07-09,2023-07-09,6547.354166666667,0.0087403507523085,114.42535153655837,2662.220694765499,0.0464802417997932,2616.06615428686,0.053955078125,3.273582087355148e-06,785.7416666666667,0.0376458333333333,0.0894583333333333,0.1870416666666666,0.0877207846396703,0.0097914195872146,0.0050364045838667,19.865714285714283,22.945833333333336,20.508333333333333,0.0,785.7416666666667,21.535416666666663,19.558333333333334,2023-07-09,0.053955078125,797.6309637803571
2023-07-10,2023-07-10,6502.875,0.008769562697368,114.03876086972132,2664.7099228363345,0.0459707534133294,2607.8180909458088,0.0551096598307291,4.045549253145348e-06,786.775,0.0366458333333333,0.0888541666666666,0.1875833333333333,0.0871894838447499,0.0104109626062325,0.0053550784261111,21.261764705882356,23.929166666666664,20.99375,0.0,786.775,23.45833333333333,21.13958333333333,2023-07-10,0.0551096598307291,797.6810216644275
