Date,DateTime,Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,BaroPress,airRH,airT
0,2023-07-01 01:00:00,11336.0,0.0093922594595668,106.47065323364932,2040.9001385093616,0.1352583182439793,1953.7141703451457,0.136077880859375,8.2640285386207e-06,766.8,0.182,0.137,0.199,0.169,0.16980881599088382,0.0,0.0,17.1,13.7,12.1,10.5,766.8,66.9,14.4
1,2023-07-01 01:30:00,11592.0,0.0092879702095892,107.66615066955816,2083.402431195764,0.1178938989710471,1996.3320481714825,0.119537353515625,8.07688531537892e-06,766.7,0.183,0.137,0.199,0.168,0.17020983230473727,0.0004687857781172975,0.0002427880182143129,17.0,13.7,12.2,10.5,766.7,74.9,12.2
2,2023-07-01 02:00:00,11118.0,0.0094838934291019,105.44192714475584,2000.4039138036417,0.153662078610111,1918.674812539034,0.151275634765625,7.888266762972948e-06,767.1,0.182,0.136,0.198,0.168,0.1692468243730742,0.0006569649880791681,0.0003402475820245996,16.0,13.5,12.0,10.4,767.1,84.0,10.0
3,2023-07-01 02:30:00,11370.0,0.0093782059894925,106.6302021005306,2057.057281923785,0.1284386259034777,1966.5976600395245,0.130889892578125,8.518154053982724e-06,767.4,0.182,0.137,0.199,0.169,0.16980881599088382,0.0,0.0,15.3,13.8,12.2,10.5,767.4,89.0,10.3
4,2023-07-01 03:00:00,11410.0,0.0093617529838573,106.81760154581266,2048.424088794327,0.132047720258229,1964.6236607158328,0.131683349609375,7.89901806774498e-06,767.8,0.181,0.137,0.199,0.169,0.1693708076086934,0.0005120292945041341,0.00026518419176365467,14.6,13.8,12.3,10.5,767.8,90.8,8.8
5,2023-07-01 03:30:00,11440.0,0.0093494699000845,106.9579356569675,2057.266154274367,0.128352277584315,1978.717694730772,0.126129150390625,7.351231085327154e-06,767.9,0.181,0.137,0.199,0.169,0.1693708076086934,0.0005120292945041341,0.00026518419176365467,14.0,13.7,12.3,10.5,767.9,90.7,7.7
6,2023-07-01 04:00:00,11262.0,0.0094230661200117,106.12257064357232,2026.0778012436724,0.1417681696019559,1952.332054096128,0.136627197265625,6.995029259231465e-06,768.2,0.18,0.137,0.199,0.169,0.16893279922650303,0.0010240585890082356,0.0005303683835272925,13.4,13.6,12.4,10.5,768.2,90.9,6.9
7,2023-07-01 04:30:00,11236.0,0.0094339622641509,106.0,2024.576213022106,0.1424417666460818,1953.6961644788653,0.136077880859375,6.718513939917682e-06,768.6,0.18,0.137,0.199,0.169,0.16893279922650303,0.0010240585890082356,0.0005303683835272925,12.8,13.4,12.4,10.5,768.6,93.2,5.9
8,2023-07-01 05:00:00,11250.0,0.0094280904158206,106.06601717798212,2026.1161373206144,0.14175100707567,1957.602895516659,0.134490966796875,6.481210974994129e-06,768.7,0.179,0.137,0.199,0.169,0.16849479084431265,0.0015360878835123373,0.0007955525752909304,12.3,13.3,12.4,10.5,768.7,90.5,5.8
9,2023-07-01 05:30:00,11194.0,0.0094516438547054,105.80170130957252,2015.001971749868,0.1467998210011136,1949.3245920508116,0.137908935546875,6.239329135663225e-06,768.8,0.179,0.137,0.199,0.169,0.16849479084431265,0.0015360878835123373,0.0007955525752909304,11.8,13.1,12.4,10.5,768.8,94.3,4.6
10,2023-07-01 06:00:00,11224.0,0.0094390040186379,105.94338110519222,2017.8711495824853,0.145482232767294,1952.339852455519,0.136627197265625,6.215836540251743e-06,768.9,0.179,0.137,0.199,0.169,0.16849479084431265,0.0015360878835123373,0.0007955525752909304,11.4,12.9,12.4,10.5,768.9,95.2,4.4
11,2023-07-01 06:30:00,11302.0,0.0094063762979843,106.310864919819,2021.028693434264,0.1440437292495305,1957.0227979696228,0.134735107421875,6.056620095003668e-06,768.8,0.178,0.136,0.199,0.169,0.1677239553740292,0.002437190141086074,0.0012622408613635284,11.0,12.7,12.4,10.5,768.8,95.9,3.9
12,2023-07-01 07:00:00,11124.0,0.0094813353998095,105.47037498748168,1985.6056824908612,0.1609009164204023,1924.751998535112,0.148529052734375,5.854884546748342e-06,768.7,0.178,0.136,0.199,0.169,0.1677239553740292,0.002437190141086074,0.0012622408613635284,10.7,12.5,12.4,10.5,768.7,96.5,3.3
13,2023-07-01 07:30:00,11390.0,0.0093699686528223,106.72394295564608,2031.0114618447703,0.1395734933519424,1969.294827628612,0.129791259765625,5.803603490945181e-06,768.6,0.178,0.136,0.199,0.169,0.1677239553740292,0.002437190141086074,0.0012622408613635284,10.4,12.4,12.4,10.5,768.6,97.6,3.0
14,2023-07-01 08:00:00,11256.0,0.0094255772635926,106.09429767899876,2004.4956046114849,0.1517114503342581,1944.6628498302243,0.139862060546875,5.697717614791055e-06,768.5,0.178,0.136,0.199,0.169,0.1677239553740292,0.002437190141086074,0.0012622408613635284,10.1,12.2,12.4,10.5,768.5,99.1,2.5
