Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,SWC_5,SWC_10,SWC_20,SWC_50,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,sT_10,sT_20,sT_50,PRISM_ppt_mm,BaroPress,airRH,airT
2023-06-25,,0.009033115430145245,110.72485707565998,2363.308255004946,0.08129353903562347,2336.8911711603755,0.061920166015625,,,,,,,,,,,,,,,
2023-06-26,,0.009091283043958648,110.02846935032699,2340.480622378169,0.08721621381688373,2303.90341916765,0.06786219278971355,,,,,,,,,,,,,,,
2023-06-27,,0.009008192981613369,111.03521842284296,2355.2203720014027,0.0835416159092348,2316.2799000336777,0.0656445821126302,,,,,,,,,,,,,,,
2023-06-28,,0.009007521695591202,111.04935442787098,2377.54839981243,0.07865705618286119,2336.430319531953,0.06243133544921875,,,,,,,,,,,,,,,
2023-06-29,,0.008984065812166604,111.32478799408226,2382.1437736013067,0.07701843919159107,2336.9515464669307,0.06191253662109375,,,,,,,,,,,,,,,
2023-06-30,,0.009141532085881266,109.40313108285585,2370.8894885923132,0.07901358182025527,2299.5795370750798,0.06782913208007812,,,,,,,,,,,,,,,
2023-07-01,5753.645833333333,0.009312663366285301,107.39044091723464,2337.7616358301484,0.08690206987315356,2264.3872555376324,0.07424418131510417,0.06433333333333334,0.09479166666666666,0.140125,,0.09027093951267429,0.0,0.0,17.369767441860464,16.022916666666667,15.81875,,1.5281999,,60.541666666666664,13.208333333333334
2023-07-02,5870.854166666667,0.009197049967343223,108.74417683503945,2368.9637168972804,0.0796564231154362,2299.8329236623044,0.06796646118164062,0.06825,0.095625,0.139875,,0.09227453475497484,0.0023417565477327194,0.0012122004099486433,21.311363636363637,18.741666666666667,17.212500000000002,,0.0,,45.229166666666664,16.541666666666668
2023-07-03,5957.9375,0.009178429110680697,108.95963393796119,2378.443576057359,0.07746310364331699,2313.5494100588735,0.06550979614257812,0.06758333333333334,0.095125,0.13904166666666667,,0.09163161787902312,0.001590329926166623,0.0008232275854290933,20.25526315789474,19.787499999999998,18.072916666666668,,0.0,,37.854166666666664,17.791666666666668
2023-07-04,5995.489361702128,0.009113579747067523,109.73366349342606,2379.288539266772,0.07726246068875522,2306.601732043143,0.06671207509142288,0.06297435897435898,0.09276923076923077,0.1373846153846154,,0.08840176365969911,0.0021846502228377285,0.0011308749828338475,20.74473684210526,18.807692307692307,17.946153846153845,,0.0,,39.604166666666664,18.041666666666668
2023-07-05,5979.229166666667,0.009158416672996451,109.19747943448682,2376.560080988123,0.07792344004897836,2299.378062464354,0.06794484456380208,0.061625000000000006,0.091625,0.13579166666666667,,0.08707381715828297,0.0037367238897522996,0.0019342993768537663,21.125531914893617,18.779166666666665,17.8,,0.020399999,,42.854166666666664,17.791666666666668
2023-07-06,6058.3125,0.00904225188680729,110.61659643925434,2390.488136158676,0.07488191845166137,2328.165629456453,0.06325658162434895,0.060708333333333336,0.09016666666666666,0.13416666666666668,,0.08582587741383763,0.005195287478860885,0.002689318673101889,19.115384615384617,18.837500000000002,17.66875,,0.4845,,43.895833333333336,17.333333333333332
2023-07-07,6180.425531914893,0.008996726038382169,111.16116312333544,2386.034557938427,0.07577123701087764,2323.1961844512703,0.06393043031083777,0.05863829787234043,0.08914893617021276,0.13408510638297874,,0.0845238904469056,0.006717020232316073,0.003477037221110919,19.542857142857144,20.559574468085106,18.77446808510638,,0.0,,37.104166666666664,18.0625
2023-07-08,6232.212765957447,0.00893963593472805,111.8731086967068,2411.9170382899906,0.07023653851561083,2355.180813692804,0.05886451234208777,0.05570212765957447,0.08646808510638299,0.13259574468085106,,0.0819700926903227,0.009701840964469745,0.005022117096575779,16.593333333333334,20.342553191489362,18.83404255319149,,0.0,,36.3125,17.875
2023-07-09,6252.3125,0.008959234761792561,111.62161816303826,2436.209032845672,0.06509215169684358,2390.7522529379294,0.053270975748697914,0.05241666666666667,0.08445833333333334,0.13141666666666665,,0.07955389317996084,0.012525839996091378,0.0064839482963820515,15.013793103448275,20.339583333333334,18.9875,,0.0,,25.104166666666668,17.875
2023-07-10,6185.458333333333,0.009016993022225877,110.91055640534005,2420.6035123903157,0.06836293320575725,2362.0411139706953,0.0576629638671875,0.050125,0.082875,0.1305,,0.07778664022042456,0.01459136505929839,0.007553158642266612,18.26969696969697,21.0125,19.395833333333332,,0.0,,27.666666666666668,19.3125
2023-07-11,6124.520833333333,0.009040455480291221,110.61889163243664,2433.046220291534,0.06576413875625185,2369.2219355746406,0.056499481201171875,0.04870833333333333,0.08079166666666666,0.12908333333333333,,0.07613946171998873,0.01651654982578405,0.008549722424876846,18.802941176470586,20.754166666666666,19.256249999999998,,0.0,,31.833333333333332,19.8125
2023-07-12,6071.979166666667,0.009058660265073645,110.40030203371568,2430.5545962943497,0.06629004028052153,2351.3416301509938,0.05930328369140625,0.04745833333333333,0.07979166666666666,0.12808333333333333,,0.07502672090924317,0.01781709597626345,0.009222944659824643,20.991666666666667,21.570833333333336,19.818749999999998,,0.0,,36.375,20.375
2023-07-13,6201.083333333333,0.008968775228455197,111.50401898027678,2430.3288609339816,0.066323207961214,2362.919871741469,0.05746332804361979,0.046125,0.07825,0.12725,,0.07372298713103903,0.01934087036300253,0.010011720050700662,18.66774193548387,21.879166666666666,20.066666666666666,,0.0,,33.1875,20.583333333333332
